Designator,Mid X,Mid Y,Rotation,Layer
J5_8,82.6008,-87.6247,0.0,top
J5_7,82.6008,-60.1218,0.0,top
J5_6,82.6008,-116.8908,0.0,top
J5_5,82.6008,-68.5292,0.0,top
J5_4,82.61,-77.5708,0.0,top
J5_3,82.6008,-98.7108,0.0,top
J5_2,82.55,-126.3142,0.0,top
J5,82.6008,-107.8254,0.0,top
J6_6,103.526,-105.5784,0.0,top
J6_5,103.5558,-55.0418,0.0,top
J6_4,103.5558,-67.2084,0.0,top
J6_3,103.5558,-92.583,0.0,top
J6_2,103.5558,-118.6,0.0,top
J6,103.5558,-79.9084,0.0,top
J7_6,103.5558,-121.14,0.0,top
J7_5,103.526,-108.1184,0.0,top
J7_4,103.5558,-95.123,0.0,top
J7_3,103.5558,-69.7484,0.0,top
J7_2,103.5558,-82.4484,0.0,top
J7,103.5558,-57.5818,0.0,top
J8_6,103.5558,-123.68,0.0,top
J8_5,103.526,-110.6584,0.0,top
J8_4,103.5558,-84.9884,0.0,top
J8_3,103.5558,-97.663,0.0,top
J8_2,103.5558,-72.2884,0.0,top
J8,103.5558,-60.1218,0.0,top
J9_6,103.526,-113.1984,0.0,top
J9_5,103.5558,-74.8284,0.0,top
J9_4,103.5558,-87.5284,0.0,top
J9_3,103.5558,-100.203,0.0,top
J9_2,103.5558,-126.22,0.0,top
J9,103.5558,-62.6618,0.0,top
U1_6,108.8898,-58.8518,0.0,top
U1_5,108.8898,-71.0184,0.0,top
U1_4,108.86,-109.49,0.0,top
U1_3,108.8898,-122.5116,0.0,top
U1_2,108.8898,-83.7184,0.0,top
U1,108.8898,-96.393,0.0,top
U2_8,85.598,-85.0593,0.0,top
U2_7,85.598,-114.3254,0.0,top
U2_6,85.5472,-123.7488,0.0,top
U2_5,85.6072,-75.0054,0.0,top
U2_4,85.598,-65.9638,0.0,top
U2_3,85.598,-105.26,0.0,top
U2_2,85.598,-96.1454,0.0,top
U2,85.598,-57.5564,0.0,top
U3_7,95.25,-67.1068,0.0,top
U3_6,95.25,-98.2726,0.0,top
U3_5,95.25,-87.4776,0.0,top
U3_4,95.25,-77.3176,0.0,top
U3_3,95.25,-123.7742,0.0,top
U3_2,95.25,-57.5818,0.0,top
U3,95.25,-109.601,0.0,top
U4_6,123.9266,-82.9818,0.0,top
U4_5,123.9266,-110.13,0.0,top
U4_4,123.9266,-96.6216,0.0,top
U4_3,123.9266,-122.555,0.0,top
U4_2,123.9266,-70.9168,0.0,top
U4,123.9266,-58.9534,0.0,top
U5_5,138.4808,-91.8718,0.0,top
U5_4,138.4808,-75.9968,0.0,top
U5_3,138.4808,-121.285,0.0,top
U5_2,138.4808,-107.1118,0.0,top
U5,138.4808,-60.1218,0.0,top
